Date,Kgrs
14-03-2020,"108"
03-05-2020,"104,9"
12-05-2020,"103,6"
18-05-2020,"104,7"
19-05-2020,"104,2"
20-05-2020,"104,2"
21-05-2020,"104,2"
22-05-2020,"103,7"
23-05-2020,"103,7"
24-05-2020,"103,2"
25-05-2020,"102,8"
26-05-2020,"103,1"
27-05-2020,"102,8"
28-05-2020,"102,1"
29-05-2020,"103,1"
30-05-2020,"102,5"
01-06-2020,"102,9"
02-06-2020,"103,5"
03-06-2020,"102,6"
04-06-2020,"102,6"
06-06-2020,"101,9"
08-06-2020,"102,7"
10-06-2020,"101,6"
11-06-2020,"101,6"
12-06-2020,"101"
13-06-2020,"101"
14-06-2020,"103"
15-06-2020,"103,2"
17-06-2020,"102,9"
18-06-2020,"102,4"
19-06-2020,"101,3"
20-06-2020,"102"
21-06-2020,"101,3"
22-06-2020,"101,8"
23-06-2020,"101,5"
24-06-2020,"101,5"
25-06-2020,"101,1"
26-06-2020,"101,1"
27-06-2020,"100,7"
28-06-2020,"100,7"
29-06-2020,"100,7"
30-06-2020,"100,7"
01-07-2020,"100,3"
02-07-2020,"100,3"
03-07-2020,"100,8"
04-07-2020,"100,8"
05-07-2020,"100,2"
06-07-2020,"99,8"
07-07-2020,"98,8"
08-07-2020,"98,4"
09-07-2020,"99,4"
11-07-2020,"100,8"
12-07-2020,"101,4"
13-07-2020,"99,9"
14-07-2020,"99,9"
15-07-2020,"99,2"
16-07-2020,"99,7"
17-07-2020,"99,7"
18-07-2020,"99,7"
19-07-2020,"99,7"
20-07-2020,"98,7"
21-07-2020,"99,2"
23-07-2020,"99,7"
24-07-2020,"100,3"
25-07-2020,"101,4"
26-07-2020,"102,4"
27-07-2020,"100,4"
28-07-2020,"100,5"
29-07-2020,"98,4"
30-07-2020,"98,7"
31-07-2020,"99"
01-08-2020,"99"
02-08-2020,"100,3"
03-08-2020,"99,2"
04-08-2020,"98,5"
05-08-2020,"98,5"
06-08-2020,"98,5"
07-08-2020,"98,5"
08-08-2020,"98,5"
11-08-2020,"97,9"
12-08-2020,"97,3"
13-08-2020,"97,5"
14-08-2020,"98"
15-08-2020,"98,2"
16-08-2020,"97,6"
17-08-2020,"98"
18-08-2020,"97,5"
19-08-2020,"97,5"
20-08-2020,"98,5"
21-08-2020,"97,8"
22-08-2020,"97,8"
23-08-2020,"97,3"
